hotel_name,reviewer_name,reviewer_url,reviewer_location,reviewer_reviewdate,reviewer_helpful_name,reviewer_title,reviewer_detail,reviewer_datestay,reviewer_triptype,reviewer_user_rating,,overall_hotelrating,overallrating_location,overallrating_cleaniness,overallrating_service,overallrating_value,,Region,Address,Phone No.
The Fullerton Bay Hotel Singapore,hengheng,https://www.tripadvisor.com.sg/Profile/hengshi,Singapore,hengheng wrote a review 12 Nov,4 contributions,Afternoon high tea buffet,"An ideal getaway place for couples or friends gathering. The food served is nicely proportion, and the serving is prompt and professional. A real shout-out at the fullerton blend which is a strong coffee yet not overpowering. Overall, excellent!",Date of stay: November 2020,Trip type: Travelled as a couple,5,,5,5,5,4.5,4,,Raffles,"80 Collyer Quay, Singapore 049326",6333 8388
The Fullerton Bay Hotel Singapore,Ryan Wong,https://www.tripadvisor.com.sg/Profile/RyanW8495,,Ryan Wong wrote a review 10 Nov,5 contributions,Anniversary Celebration,"Today marks my anniversary day. We had high tea at The Landing Point.
Ambience is great and scenery is beautiful and calming.
Food is splendid and tasty. Excellent service provided by the attentive service staffs (Mr Idrus and Ms Lotha).
Special thanks for the staffs for the surprise photo and cake.
P. S. I have mosaic our face to stay low profile. The photo turns out fine.",Date of stay: November 2020,,5,,,,,,,,Raffles,,
The Fullerton Bay Hotel Singapore,SkippyMN,https://www.tripadvisor.com.sg/Profile/SkippyMN,"Singapore, Singapore",SkippyMN wrote a review 10 Nov,2 contributions,Friend’s Wedding,"Attended my friend’s wedding on 8th November and was helping her on the coordination. Nicholas, the event person in charge together with other staff are very attentive and professional. Great experience!",Date of stay: November 2020,,5,,,,,,,,Raffles,,
The Fullerton Bay Hotel Singapore,Yubbc,https://www.tripadvisor.com.sg/Profile/Yubbc,,Yubbc wrote a review 10 Nov,2 contributions,Definitely a 5-star experience,"We went to Fullerton Bay Hotel for staycation and it was an excellent experience. All the staffs there were very friendly and attentive. We had a very pleasant check-in and check-out process with Ice, Amanda and Maria. And the dinner we had at La Brasserie was joyful, thanks Alan for the recommendation and good services. We felt very welcomed and the price we paid for it was very worthy. And The room is nice and clean with awesome view to see MBS. Will definitely go back again soon.",Date of stay: November 2020,,5,,,,,,,,Raffles,,
The Fullerton Bay Hotel Singapore,Celinesyt,https://www.tripadvisor.com.sg/Profile/Celinesyt,"Singapore, Singapore",Celinesyt wrote a review 9 Nov,3 contributions,Birthday Chill!!!,"Ambience is absolutely scenic & cosy... Germa & Team are very friendly... service is great!! Had an awesome birthday celebration here... my 1st time here & its amazing! ❤️❤️
Will definitely come here again! :)",Date of stay: November 2020,,5,,,,,,,,Raffles,,
The Fullerton Bay Hotel Singapore,Celinesyt,https://www.tripadvisor.com.sg/Profile/Celinesyt,"Singapore, Singapore",Celinesyt wrote a review 9 Nov,3 helpful votes,Birthday Chill!!!,"Ambience is absolutely scenic & cosy... Germa & Team are very friendly... service is great!! Had an awesome birthday celebration here... my 1st time here & its amazing! ❤️❤️
Will definitely come here again! :)",Date of stay: November 2020,,5,,,,,,,,Raffles,,
The Fullerton Bay Hotel Singapore,Joi,https://www.tripadvisor.com.sg/Profile/BarHopperQQ,,Joi wrote a review 8 Nov,1 contribution,Great ambience with a fantastic view,"Lantern was amazing - great location, ambience and full view of MBS! Visited in Nov (I believe they only opened recently after COVID) and the service was great. Sweet and small gestures by the staff, Daniel, who did a great job! Initiated to help take photos of us and we were also offered to change our seats to a better location (better view). Will be back again :)",Date of stay: November 2020,Trip type: Travelled with friends,5,,,,,,,,Raffles,,
The Fullerton Bay Hotel Singapore,Yi Wei,https://www.tripadvisor.com.sg/Profile/Wiseman23456,,Yi Wei wrote a review 8 Nov,1 contribution,LANTERN REVIEW,"Excellent service with good ambience and social distancing measures. Daniel, who attended to us was meticulous and was a beam of joy. Will definitely return. Drinks was aplenty and the staff also shifted our positions when there’s better seats available.",Date of stay: November 2020,,5,,,,,,,,Raffles,,
The Fullerton Bay Hotel Singapore,Keli,https://www.tripadvisor.com.sg/Profile/Kfklx,,Keli wrote a review 8 Nov,1 contribution,Very good service and food,Food and drinks tastes great. With free complimentary ice water and birthday cake. Great service too. Abit on the pricey side especially for the drinks. But everything else makes the whole experience nice with good view,Date of stay: November 2020,,5,,,,,,,,Raffles,,
The Fullerton Bay Hotel Singapore,Mimi S,https://www.tripadvisor.com.sg/Profile/169mimis,,Mimi S wrote a review 7 Nov,4 contributions,High tea,"Worth coming here, We made a booking 3 weekago and finally we got it, great view, delicious food, great service. Thanks to Daniel, Rose, Mavie for excellent service given to us. Definitely will come again soon.",Date of stay: November 2020,,5,,,,,,,,Raffles,,
